,RunId,iteration,Step,height,width,schedule_type,Cooperating_Agents,total_pay_off
0,0,0,0,20,20,Sequential,206,0.0
1,0,0,10,20,20,Sequential,0,0.0
2,0,0,20,20,20,Sequential,0,0.0
3,0,0,30,20,20,Sequential,0,0.0
4,1,0,0,20,20,Random,197,0.0
5,1,0,10,20,20,Random,332,2491.3999999999996
6,1,0,20,20,20,Random,398,3181.2
7,1,0,30,20,20,Random,400,3200.0
8,2,0,0,20,20,Simultaneous,212,0.0
9,2,0,10,20,20,Simultaneous,0,0.0
10,2,0,20,20,20,Simultaneous,0,0.0
11,2,0,30,20,20,Simultaneous,0,0.0
12,3,1,0,20,20,Sequential,204,0.0
13,3,1,10,20,20,Sequential,400,3200.0
14,3,1,20,20,20,Sequential,400,3200.0
15,3,1,30,20,20,Sequential,400,3200.0
16,4,1,0,20,20,Random,183,0.0
17,4,1,10,20,20,Random,0,0.0
18,4,1,20,20,20,Random,0,0.0
19,4,1,30,20,20,Random,0,0.0
20,5,1,0,20,20,Simultaneous,204,0.0
21,5,1,10,20,20,Simultaneous,0,0.0
22,5,1,20,20,20,Simultaneous,0,0.0
23,5,1,30,20,20,Simultaneous,0,0.0
24,6,2,0,20,20,Sequential,196,0.0
25,6,2,10,20,20,Sequential,0,0.0
26,6,2,20,20,20,Sequential,0,0.0
27,6,2,30,20,20,Sequential,0,0.0
28,7,2,0,20,20,Random,186,0.0
29,7,2,10,20,20,Random,331,2459.8
30,7,2,20,20,20,Random,390,3138.2000000000003
31,7,2,30,20,20,Random,389,3150.6000000000004
32,8,2,0,20,20,Simultaneous,184,0.0
33,8,2,10,20,20,Simultaneous,0,0.0
34,8,2,20,20,20,Simultaneous,0,0.0
35,8,2,30,20,20,Simultaneous,0,0.0
36,9,3,0,20,20,Sequential,205,0.0
37,9,3,10,20,20,Sequential,400,3200.0
38,9,3,20,20,20,Sequential,400,3200.0
39,9,3,30,20,20,Sequential,400,3200.0
40,10,3,0,20,20,Random,206,0.0
41,10,3,10,20,20,Random,399,3100.8
42,10,3,20,20,20,Random,400,3200.0
43,10,3,30,20,20,Random,400,3200.0
44,11,3,0,20,20,Simultaneous,196,0.0
45,11,3,10,20,20,Simultaneous,0,0.0
46,11,3,20,20,20,Simultaneous,0,0.0
47,11,3,30,20,20,Simultaneous,0,0.0
48,12,4,0,20,20,Sequential,195,0.0
49,12,4,10,20,20,Sequential,0,0.0
50,12,4,20,20,20,Sequential,0,0.0
51,12,4,30,20,20,Sequential,0,0.0
52,13,4,0,20,20,Random,199,0.0
53,13,4,10,20,20,Random,342,2553.1999999999994
54,13,4,20,20,20,Random,400,3200.0
55,13,4,30,20,20,Random,400,3200.0
56,14,4,0,20,20,Simultaneous,197,0.0
57,14,4,10,20,20,Simultaneous,163,1421.5999999999992
58,14,4,20,20,20,Simultaneous,351,2920.8000000000006
59,14,4,30,20,20,Simultaneous,351,2926.8
60,15,5,0,20,20,Sequential,181,0.0
61,15,5,10,20,20,Sequential,400,3200.0
62,15,5,20,20,20,Sequential,400,3200.0
63,15,5,30,20,20,Sequential,400,3200.0
64,16,5,0,20,20,Random,192,0.0
65,16,5,10,20,20,Random,390,3094.2000000000003
66,16,5,20,20,20,Random,395,3166.4
67,16,5,30,20,20,Random,393,3164.4
68,17,5,0,20,20,Simultaneous,201,0.0
69,17,5,10,20,20,Simultaneous,0,0.0
70,17,5,20,20,20,Simultaneous,0,0.0
71,17,5,30,20,20,Simultaneous,0,0.0
72,18,6,0,20,20,Sequential,207,0.0
73,18,6,10,20,20,Sequential,400,3200.0
74,18,6,20,20,20,Sequential,400,3200.0
75,18,6,30,20,20,Sequential,400,3200.0
76,19,6,0,20,20,Random,204,0.0
77,19,6,10,20,20,Random,0,0.0
78,19,6,20,20,20,Random,0,0.0
79,19,6,30,20,20,Random,0,0.0
80,20,6,0,20,20,Simultaneous,184,0.0
81,20,6,10,20,20,Simultaneous,0,0.0
82,20,6,20,20,20,Simultaneous,0,0.0
83,20,6,30,20,20,Simultaneous,0,0.0
84,21,7,0,20,20,Sequential,202,0.0
85,21,7,10,20,20,Sequential,0,0.0
86,21,7,20,20,20,Sequential,0,0.0
87,21,7,30,20,20,Sequential,0,0.0
88,22,7,0,20,20,Random,206,0.0
89,22,7,10,20,20,Random,351,2628.2000000000007
90,22,7,20,20,20,Random,396,3180.0
91,22,7,30,20,20,Random,395,3174.0
92,23,7,0,20,20,Simultaneous,206,0.0
93,23,7,10,20,20,Simultaneous,0,0.0
94,23,7,20,20,20,Simultaneous,0,0.0
95,23,7,30,20,20,Simultaneous,0,0.0
96,24,8,0,20,20,Sequential,206,0.0
97,24,8,10,20,20,Sequential,400,3200.0
98,24,8,20,20,20,Sequential,400,3200.0
99,24,8,30,20,20,Sequential,400,3200.0
100,25,8,0,20,20,Random,188,0.0
101,25,8,10,20,20,Random,307,2367.5999999999995
102,25,8,20,20,20,Random,392,3149.2000000000003
103,25,8,30,20,20,Random,390,3147.6
104,26,8,0,20,20,Simultaneous,211,0.0
105,26,8,10,20,20,Simultaneous,235,2052.8
106,26,8,20,20,20,Simultaneous,322,2763.2000000000007
107,26,8,30,20,20,Simultaneous,317,2734.000000000002
108,27,9,0,20,20,Sequential,206,0.0
109,27,9,10,20,20,Sequential,400,3200.0
110,27,9,20,20,20,Sequential,400,3200.0
111,27,9,30,20,20,Sequential,400,3200.0
112,28,9,0,20,20,Random,211,0.0
113,28,9,10,20,20,Random,367,3006.6
114,28,9,20,20,20,Random,393,3168.0
115,28,9,30,20,20,Random,396,3180.0
116,29,9,0,20,20,Simultaneous,188,0.0
117,29,9,10,20,20,Simultaneous,0,0.0
118,29,9,20,20,20,Simultaneous,0,0.0
119,29,9,30,20,20,Simultaneous,0,0.0
